                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7446,                 2.4862,                  1.662,                0.39176,                0.04036,                0.03355,                0.01058,                 2.7695,                 2.4817,                 1.6209,             0.00022004,             0.00022004,             0.00022004
                     36,                 2.7075,                 2.5014,                 1.6801,                0.35495,                0.03816,                0.03488,                 0.0114,                  2.707,                 2.4954,                  1.576,             0.00021874,             0.00021874,             0.00021874
                     37,                 2.7055,                 2.4398,                 1.6355,                0.24892,                0.03973,                0.03319,                0.00946,                 2.7965,                 2.5681,                 1.5933,             0.00021744,             0.00021744,             0.00021744
                     38,                 2.6652,                 2.3953,                  1.654,                0.42719,                0.04554,                0.03898,                 0.0131,                 2.6105,                 2.4032,                 1.5728,             0.00021613,             0.00021613,             0.00021613
                     39,                 2.7154,                 2.4525,                 1.6473,                0.42728,                0.04566,                0.04491,                0.01454,                  2.643,                 2.4534,                 1.5319,             0.00021483,             0.00021483,             0.00021483
                     40,                 2.6429,                 2.3994,                 1.6173,                0.42983,                0.04206,                0.05224,                0.01343,                 2.7483,                 2.4818,                 1.5787,             0.00021353,             0.00021353,             0.00021353
                     41,                 2.6226,                 2.3374,                 1.5921,                 0.3744,                0.03769,                0.05111,                0.01606,                 2.6661,                 2.4262,                 1.5093,             0.00021223,             0.00021223,             0.00021223
                     42,                 2.6886,                 2.4189,                 1.6186,                0.46835,                0.04149,                0.04426,                0.01507,                 2.6584,                 2.3929,                  1.526,             0.00021093,             0.00021093,             0.00021093
                     43,                 2.6159,                 2.3141,                 1.5625,                0.43796,                0.04168,                0.04884,                0.01598,                  2.693,                 2.4454,                 1.5058,             0.00020962,             0.00020962,             0.00020962
                     44,                 2.6273,                 2.3347,                 1.5842,                0.46718,                0.04269,                0.04823,                0.01578,                 2.6431,                 2.3094,                 1.5085,             0.00020832,             0.00020832,             0.00020832
                     45,                  2.635,                 2.3199,                 1.5806,                0.03616,                0.07815,                0.04834,                0.01782,                 2.5815,                  2.327,                  1.485,             0.00020702,             0.00020702,             0.00020702
                     46,                 2.6035,                 2.2639,                 1.5613,                0.43828,                 0.0444,                0.05028,                0.01922,                 2.5677,                 2.3879,                 1.4651,             0.00020572,             0.00020572,             0.00020572
                     47,                 2.6433,                 2.3046,                 1.5439,                0.40175,                 0.0432,                 0.0478,                0.01746,                 2.6132,                  2.312,                 1.4657,             0.00020442,             0.00020442,             0.00020442
                     48,                 2.6178,                 2.2818,                 1.5223,                0.03722,                0.08104,                0.04906,                0.01822,                 2.5778,                 2.3201,                 1.4511,             0.00020311,             0.00020311,             0.00020311
                     49,                 2.6555,                 2.2852,                 1.5435,                0.25543,                0.07548,                0.05071,                0.01681,                  2.662,                 2.3434,                 1.4685,             0.00020181,             0.00020181,             0.00020181
                     50,                 2.5804,                 2.2569,                 1.5181,                0.43266,                0.04444,                0.04692,                0.01761,                 2.6774,                 2.3543,                 1.4457,             0.00020051,             0.00020051,             0.00020051
                     51,                 2.5859,                 2.2485,                 1.5129,                0.43833,                0.04638,                0.04877,                0.01802,                 2.6309,                 2.3246,                 1.4439,             0.00019921,             0.00019921,             0.00019921
                     52,                 2.6096,                 2.2497,                 1.5252,                0.06542,                0.09665,                0.04981,                0.01828,                 2.5972,                 2.2802,                 1.4325,             0.00019791,             0.00019791,             0.00019791
                     53,                  2.598,                 2.2599,                 1.5102,                0.26285,                0.08331,                0.05515,                0.01867,                 2.6847,                 2.3143,                 1.4686,             0.00019661,             0.00019661,             0.00019661
                     54,                 2.5564,                  2.149,                 1.4715,                0.05094,                0.08374,                0.05845,                0.01838,                 2.6443,                 2.3834,                 1.4279,              0.0001953,              0.0001953,              0.0001953
                     55,                 2.6007,                 2.2256,                 1.5115,                0.44137,                 0.0468,                0.05046,                0.01715,                 2.6318,                 2.3392,                 1.4303,               0.000194,               0.000194,               0.000194
                     56,                 2.5297,                 2.1649,                 1.4834,                0.11108,                0.10004,                0.05814,                0.02062,                 2.6398,                 2.2676,                 1.4315,              0.0001927,              0.0001927,              0.0001927
                     57,                 2.5415,                 2.1431,                 1.4826,                 0.2157,                0.06406,                0.05326,                0.01769,                  2.654,                 2.2662,                 1.4436,              0.0001914,              0.0001914,              0.0001914
