                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8431,                 5.5426,                 4.2337,                      0,                      0,                      0,                      0,                 5.2951,                 5.8035,                 4.1646,              6.575e-05,              6.575e-05,              6.575e-05
                      2,                  4.872,                 5.4758,                 4.2051,                      0,                      0,                      0,                      0,                 5.2902,                 5.8209,                 4.1609,              0.0001328,              0.0001328,              0.0001328
                      3,                 4.8025,                 5.3709,                 4.1556,                      0,                      0,                      0,                      0,                 5.2849,                 5.8902,                  4.154,              0.0001985,              0.0001985,              0.0001985
                      4,                  4.689,                 5.2332,                 4.0763,                      0,                      0,                      0,                      0,                 5.3296,                 6.1637,                 4.2495,             0.00025519,             0.00025519,             0.00025519
                      5,                 4.5741,                 4.9863,                 3.9556,                      0,                      0,                      0,                      0,                 5.4339,                 6.3455,                 4.3886,             0.00025519,             0.00025519,             0.00025519
                      6,                 4.4504,                 4.7242,                 3.8095,                0.03469,                 0.0006,                0.00016,                  6e-05,                 5.0434,                 5.4111,                 3.9773,             0.00025259,             0.00025259,             0.00025259
                      7,                 4.2457,                 4.5111,                 3.7229,                0.10585,                0.00244,                0.00626,                0.00074,                 4.5467,                 4.7906,                 3.6059,             0.00024998,             0.00024998,             0.00024998
                      8,                 4.0819,                 4.2671,                 3.5533,                0.10732,                0.00285,                0.00111,                0.00039,                 4.3121,                 5.9359,                 3.3165,             0.00024738,             0.00024738,             0.00024738
                      9,                 3.9155,                 4.0966,                 3.3461,                0.10773,                0.00316,                0.00162,                0.00054,                 4.1707,                 4.8901,                 3.1291,             0.00024477,             0.00024477,             0.00024477
                     10,                 3.7733,                 3.8746,                 3.1261,                0.17782,                0.00356,                0.00301,                0.00123,                 3.9257,                 3.7974,                 2.9285,             0.00024217,             0.00024217,             0.00024217
                     11,                 3.6104,                 3.7475,                 2.9343,                 0.3166,                0.00507,                0.00311,                0.00106,                  3.815,                 3.7064,                 2.7747,             0.00023957,             0.00023957,             0.00023957
                     12,                 3.5337,                 3.5897,                 2.7944,                0.21594,                0.00573,                0.00552,                0.00217,                 3.7361,                 3.6195,                 2.6382,             0.00023696,             0.00023696,             0.00023696
                     13,                 3.4099,                 3.4344,                 2.6351,                0.21775,                0.00613,                0.00541,                 0.0022,                 3.5524,                 3.5145,                 2.4903,             0.00023436,             0.00023436,             0.00023436
                     14,                 3.3153,                 3.3565,                 2.5522,                0.11494,                0.00643,                0.00761,                0.00316,                 3.4643,                 3.4051,                 2.4395,             0.00023176,             0.00023176,             0.00023176
                     15,                 3.3019,                 3.2186,                  2.438,                0.25254,                0.00629,                0.00749,                0.00301,                  3.556,                 3.3453,                  2.383,             0.00022915,             0.00022915,             0.00022915
                     16,                 3.2475,                 3.2428,                 2.3795,                0.11432,                0.00831,                0.00885,                  0.003,                 3.3805,                 3.3229,                 2.2783,             0.00022655,             0.00022655,             0.00022655
                     17,                 3.1517,                 3.0866,                 2.2633,                 0.1171,                0.00853,                 0.0092,                0.00372,                 3.2744,                 3.1956,                 2.1984,             0.00022394,             0.00022394,             0.00022394
                     18,                 3.1378,                 3.0878,                 2.2396,                0.11474,                0.01047,                0.00952,                0.00329,                 3.3377,                 3.1762,                 2.2304,             0.00022134,             0.00022134,             0.00022134
                     19,                 3.0378,                  2.935,                 2.1749,                0.21956,                0.00975,                0.01036,                 0.0042,                 3.1973,                  3.049,                 2.0603,             0.00021874,             0.00021874,             0.00021874
                     20,                 3.0188,                 2.9248,                 2.1143,                0.15247,                0.00816,                0.01104,                0.00473,                 3.0521,                 3.0474,                 2.0413,             0.00021613,             0.00021613,             0.00021613
                     21,                 2.9252,                 2.8314,                 2.0798,                0.14632,                0.01535,                0.01334,                0.00525,                 3.1127,                 2.9289,                 2.0041,             0.00021353,             0.00021353,             0.00021353
                     22,                 2.8755,                 2.7995,                  2.016,                 0.1478,                0.01707,                0.01304,                0.00487,                 3.0757,                 2.8395,                 1.9851,             0.00021093,             0.00021093,             0.00021093
                     23,                 2.8844,                 2.8065,                 1.9941,                0.10018,                0.02628,                0.01485,                 0.0056,                 2.9746,                 2.8331,                 1.9096,             0.00020832,             0.00020832,             0.00020832
                     24,                 2.8999,                 2.7689,                   1.97,                0.17653,                0.01993,                0.01563,                0.00616,                 2.9493,                 2.7556,                 1.8649,             0.00020572,             0.00020572,             0.00020572
                     25,                 2.8501,                 2.6776,                 1.8936,                0.12096,                 0.0325,                0.01685,                  0.006,                 3.0501,                 2.8025,                 1.8915,             0.00020311,             0.00020311,             0.00020311
                     26,                  2.822,                  2.678,                  1.875,                0.12599,                0.03527,                0.01807,                0.00642,                 2.9157,                 2.6954,                 1.8323,             0.00020051,             0.00020051,             0.00020051
                     27,                 2.8167,                 2.6979,                  1.855,                0.21075,                0.02462,                0.01868,                0.00687,                 2.9263,                 2.6808,                 1.7981,             0.00019791,             0.00019791,             0.00019791
                     28,                 2.7779,                  2.657,                 1.8558,                0.19988,                0.02974,                0.02009,                0.00729,                 2.8442,                 2.6391,                  1.783,              0.0001953,              0.0001953,              0.0001953
                     29,                 2.7831,                 2.5927,                 1.7912,                0.19943,                0.02785,                0.02122,                0.00739,                 2.9335,                 2.6246,                 1.7823,              0.0001927,              0.0001927,              0.0001927
                     30,                 2.7539,                 2.5757,                 1.7796,                0.20237,                0.02673,                0.02016,                 0.0067,                 2.8714,                 2.6495,                  1.743,              0.0001901,              0.0001901,              0.0001901
                     31,                 2.7812,                 2.5487,                 1.7636,                0.35498,                0.03125,                0.02915,                0.00952,                 2.8259,                 2.5617,                 1.7174,             0.00018749,             0.00018749,             0.00018749
                     32,                 2.7607,                 2.5242,                 1.7396,                0.21069,                0.03267,                0.02626,                0.00835,                 2.8253,                 2.5976,                 1.7026,             0.00018489,             0.00018489,             0.00018489
                     33,                 2.7348,                 2.5151,                 1.7422,                0.24594,                0.03875,                0.02568,                0.00764,                 2.8927,                 2.6262,                 1.7134,             0.00018229,             0.00018229,             0.00018229
                     34,                 2.7407,                 2.5161,                 1.7264,                0.02437,                0.05091,                0.03021,                0.01005,                 2.7768,                  2.529,                 1.6921,             0.00017968,             0.00017968,             0.00017968
                     35,                 2.7426,                 2.4981,                  1.686,                0.41991,                0.03754,                0.02862,                0.00918,                 2.7985,                 2.4701,                 1.6687,             0.00017708,             0.00017708,             0.00017708
                     36,                 2.6996,                 2.5268,                 1.7069,                0.32351,                0.03526,                0.03057,                0.01034,                 2.7811,                 2.4653,                 1.6281,             0.00017447,             0.00017447,             0.00017447
                     37,                 2.7023,                 2.4616,                 1.6621,                0.31505,                0.03698,                0.03172,                0.00955,                 2.8082,                 2.5122,                 1.6443,             0.00017187,             0.00017187,             0.00017187
                     38,                 2.6802,                 2.4241,                 1.6836,                0.38638,                0.04016,                0.03545,                0.01157,                 2.6936,                 2.4464,                 1.6125,             0.00016927,             0.00016927,             0.00016927
                     39,                   2.72,                 2.4755,                 1.6805,                 0.3562,                0.03832,                 0.0313,                0.00958,                 2.7624,                 2.4637,                 1.6202,             0.00016666,             0.00016666,             0.00016666
                     40,                 2.6316,                 2.4044,                 1.6452,                0.32344,                0.04152,                0.03411,                 0.0103,                 2.7487,                  2.484,                 1.5976,             0.00016406,             0.00016406,             0.00016406
                     41,                 2.6292,                 2.3669,                 1.6235,                0.39422,                0.04252,                0.04296,                0.01421,                  2.649,                  2.434,                 1.5639,             0.00016146,             0.00016146,             0.00016146
                     42,                 2.6943,                 2.4456,                 1.6562,                0.42508,                0.04022,                0.05021,                0.01463,                 2.7433,                 2.4476,                 1.5772,             0.00015885,             0.00015885,             0.00015885
                     43,                  2.615,                 2.3329,                 1.5938,                 0.4368,                 0.0408,                0.05392,                0.01688,                 2.7617,                 2.4676,                  1.568,             0.00015625,             0.00015625,             0.00015625
                     44,                 2.6245,                 2.3718,                  1.615,                0.42546,                0.03983,                0.05705,                0.01657,                 2.6904,                 2.3513,                  1.554,             0.00015364,             0.00015364,             0.00015364
                     45,                 2.6447,                 2.3562,                 1.6158,                0.05974,                 0.0709,                0.05811,                 0.0171,                 2.6794,                 2.3766,                 1.5451,             0.00015104,             0.00015104,             0.00015104
                     46,                 2.5857,                 2.2822,                 1.5952,                 0.0612,                0.07069,                0.05723,                 0.0199,                 2.6929,                 2.4744,                 1.5271,             0.00014844,             0.00014844,             0.00014844
                     47,                 2.6503,                 2.3409,                 1.5846,                0.35843,                0.03955,                0.04993,                 0.0191,                 2.6665,                 2.3846,                   1.52,             0.00014583,             0.00014583,             0.00014583
                     48,                 2.6304,                 2.3312,                 1.5623,                0.37506,                0.04342,                0.04366,                 0.0151,                 2.6577,                 2.3756,                 1.5111,             0.00014323,             0.00014323,             0.00014323
                     49,                 2.6507,                  2.326,                   1.58,                0.03618,                0.07311,                0.04617,                0.01654,                 2.7184,                 2.4411,                 1.5185,             0.00014063,             0.00014063,             0.00014063
                     50,                 2.5928,                 2.2896,                 1.5538,                0.44023,                0.04251,                0.04638,                0.01685,                 2.6959,                 2.3661,                 1.5011,             0.00013802,             0.00013802,             0.00013802
                     51,                 2.5956,                 2.2881,                 1.5521,                0.43063,                0.04136,                0.04892,                0.01531,                 2.7497,                 2.3826,                 1.5299,             0.00013542,             0.00013542,             0.00013542
                     52,                 2.6359,                 2.2999,                 1.5694,                0.45169,                0.04091,                0.04082,                0.01422,                 2.6402,                 2.3716,                 1.4828,             0.00013281,             0.00013281,             0.00013281
                     53,                 2.6086,                 2.3065,                 1.5477,                0.44721,                0.04119,                0.04422,                0.01488,                  2.719,                 2.3511,                 1.5194,             0.00013021,             0.00013021,             0.00013021
                     54,                 2.5702,                 2.1979,                  1.506,                0.42153,                0.04591,                0.04569,                0.01668,                  2.674,                 2.3801,                 1.4873,             0.00012761,             0.00012761,             0.00012761
                     55,                 2.6113,                 2.2784,                 1.5525,                0.47466,                0.03999,                0.04491,                0.01562,                 2.6986,                 2.4203,                 1.4888,               0.000125,               0.000125,               0.000125
                     56,                 2.5356,                 2.2033,                 1.5222,                 0.4672,                0.04374,                0.04449,                0.01653,                 2.6599,                 2.3714,                 1.4724,              0.0001224,              0.0001224,              0.0001224
                     57,                 2.5706,                  2.203,                  1.525,                0.14607,                0.08169,                0.05024,                 0.0159,                 2.7599,                 2.3149,                 1.5234,              0.0001198,              0.0001198,              0.0001198
                     58,                 2.5657,                 2.2244,                  1.502,                0.32443,                0.05256,                0.04758,                0.01773,                 2.6313,                 2.3063,                 1.4646,             0.00011719,             0.00011719,             0.00011719
                     59,                 2.5492,                 2.2097,                 1.5148,                 0.4004,                0.04508,                0.04836,                 0.0181,                 2.6461,                   2.31,                 1.4534,             0.00011459,             0.00011459,             0.00011459
                     60,                 2.5772,                 2.1983,                 1.5169,                0.40749,                0.04541,                0.04691,                0.01741,                 2.6417,                 2.3028,                 1.4595,             0.00011199,             0.00011199,             0.00011199
                     61,                    2.6,                 2.2639,                 1.4996,                0.36743,                0.04534,                0.04524,                0.01618,                  2.686,                  2.372,                 1.4626,             0.00010938,             0.00010938,             0.00010938
                     62,                 2.5651,                 2.1506,                 1.4946,                0.43651,                 0.0454,                0.05134,                0.01867,                 2.6479,                 2.2909,                 1.4587,             0.00010678,             0.00010678,             0.00010678
                     63,                 2.5586,                 2.2298,                 1.4961,                 0.4451,                0.04258,                0.04854,                0.01659,                 2.6942,                  2.316,                 1.4719,             0.00010417,             0.00010417,             0.00010417
                     64,                 2.5349,                 2.1227,                 1.4756,                0.43491,                0.04692,                0.04847,                0.01825,                 2.6221,                 2.2958,                 1.4529,             0.00010157,             0.00010157,             0.00010157
                     65,                 2.5147,                 2.1452,                 1.4868,                0.39714,                0.04645,                0.04608,                0.01653,                  2.668,                 2.2853,                 1.4623,             9.8967e-05,             9.8967e-05,             9.8967e-05
                     66,                 2.5692,                 2.1821,                 1.4743,                0.14238,                0.08303,                0.05262,                0.01853,                  2.633,                 2.3041,                  1.451,             9.6363e-05,             9.6363e-05,             9.6363e-05
