                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.5712,                 2.1373,                 1.4798,                0.36943,                0.04275,                0.04988,                0.01878,                 2.6153,                 2.3079,                 1.4477,             9.3759e-05,             9.3759e-05,             9.3759e-05
                     68,                 2.5402,                 2.1508,                 1.4759,                  0.368,                0.04439,                0.05214,                0.01875,                 2.7053,                 2.2823,                 1.4664,             9.1156e-05,             9.1156e-05,             9.1156e-05
                     69,                  2.534,                 2.1533,                 1.4809,                 0.2268,                0.06133,                 0.0486,                0.01757,                 2.6466,                 2.2827,                 1.4345,             8.8552e-05,             8.8552e-05,             8.8552e-05
                     70,                 2.5564,                 2.1757,                 1.4797,                  0.181,                0.07616,                0.05191,                 0.0191,                 2.6594,                 2.2849,                 1.4433,             8.5948e-05,             8.5948e-05,             8.5948e-05
                     71,                 2.5555,                 2.1442,                  1.465,                0.40364,                 0.0466,                0.05027,                0.01984,                 2.6316,                   2.26,                 1.4351,             8.3345e-05,             8.3345e-05,             8.3345e-05
                     72,                 2.5262,                 2.1435,                 1.4633,                0.22635,                0.05717,                0.04773,                0.01715,                 2.7004,                 2.2651,                 1.4539,             8.0741e-05,             8.0741e-05,             8.0741e-05
                     73,                 2.5636,                 2.1471,                 1.4821,                0.25569,                0.05667,                0.04951,                0.01833,                 2.6349,                 2.2589,                 1.4343,             7.8137e-05,             7.8137e-05,             7.8137e-05
                     74,                 2.5126,                 2.1001,                 1.4529,                0.40736,                0.04511,                0.05169,                0.01862,                 2.7194,                 2.2729,                 1.4601,             7.5534e-05,             7.5534e-05,             7.5534e-05
                     75,                 2.5139,                 2.1279,                  1.463,                 0.3649,                0.05129,                0.04882,                0.01871,                 2.6213,                 2.2639,                 1.4291,              7.293e-05,              7.293e-05,              7.293e-05
                     76,                 2.5314,                 2.1222,                 1.4674,                0.36908,                0.04543,                0.05018,                0.01926,                 2.6279,                 2.2678,                 1.4194,             7.0326e-05,             7.0326e-05,             7.0326e-05
                     77,                 2.5038,                 2.0837,                 1.4445,                0.38358,                0.04361,                0.05019,                 0.0198,                 2.6137,                 2.2553,                  1.415,             6.7722e-05,             6.7722e-05,             6.7722e-05
                     78,                 2.5108,                 2.0969,                 1.4511,                0.17931,                 0.0775,                0.05221,                0.01959,                 2.6593,                 2.3145,                 1.4324,             6.5119e-05,             6.5119e-05,             6.5119e-05
                     79,                 2.4851,                 2.0702,                 1.4303,                0.13027,                0.08298,                0.05273,                0.01981,                 2.6326,                 2.2899,                 1.4197,             6.2515e-05,             6.2515e-05,             6.2515e-05
                     80,                 2.5226,                 2.1022,                  1.443,                0.44599,                0.04841,                0.05134,                0.01915,                 2.6381,                 2.2233,                 1.4234,             5.9911e-05,             5.9911e-05,             5.9911e-05
                     81,                 2.5147,                 2.1222,                 1.4495,                0.37166,                0.04761,                0.05223,                0.01982,                 2.6602,                 2.2607,                 1.4265,             5.7308e-05,             5.7308e-05,             5.7308e-05
                     82,                 2.5063,                 2.0891,                   1.44,                0.44094,                0.04746,                0.05201,                0.02104,                 2.5838,                 2.2412,                 1.4047,             5.4704e-05,             5.4704e-05,             5.4704e-05
                     83,                 2.5048,                 2.1197,                 1.4461,                0.18974,                0.06944,                0.05491,                 0.0201,                 2.6734,                 2.2529,                 1.4359,               5.21e-05,               5.21e-05,               5.21e-05
                     84,                 2.5092,                 2.1017,                 1.4321,                0.28917,                0.05874,                0.05607,                0.02148,                 2.6121,                 2.2474,                 1.4142,             4.9497e-05,             4.9497e-05,             4.9497e-05
                     85,                 2.4544,                 2.1013,                 1.4348,                0.22234,                0.07713,                0.05542,                0.02127,                 2.6323,                 2.2735,                 1.4257,             4.6893e-05,             4.6893e-05,             4.6893e-05
                     86,                 2.4764,                 2.0689,                  1.437,                0.14083,                0.07822,                 0.0585,                0.02264,                 2.6397,                 2.3023,                 1.4173,             4.4289e-05,             4.4289e-05,             4.4289e-05
                     87,                 2.5488,                  2.129,                 1.4401,                0.14651,                0.07607,                0.05541,                0.02053,                 2.6758,                 2.2778,                 1.4255,             4.1686e-05,             4.1686e-05,             4.1686e-05
                     88,                 2.4721,                 2.0983,                  1.438,                0.21871,                0.08042,                0.05747,                0.02252,                 2.6143,                 2.2192,                 1.4165,             3.9082e-05,             3.9082e-05,             3.9082e-05
                     89,                 2.4933,                 2.0786,                 1.4344,                0.22232,                0.07865,                0.05765,                0.02311,                 2.5869,                 2.2225,                 1.4062,             3.6478e-05,             3.6478e-05,             3.6478e-05
                     90,                 2.4902,                 2.0468,                 1.4302,                0.18086,                0.08026,                 0.0587,                0.02252,                 2.6276,                 2.2446,                 1.4161,             3.3874e-05,             3.3874e-05,             3.3874e-05
                     91,                  2.529,                 2.2928,                 1.4464,                0.23588,                0.05509,                0.05353,                0.01981,                 2.6902,                 2.3457,                 1.4397,             3.1271e-05,             3.1271e-05,             3.1271e-05
                     92,                 2.5201,                 2.2093,                 1.4347,                 0.1573,                0.04159,                0.03246,                0.01203,                 2.6637,                 2.3573,                 1.4264,             2.8667e-05,             2.8667e-05,             2.8667e-05
                     93,                 2.5027,                 2.1801,                 1.4248,                0.15139,                0.04414,                0.03192,                0.01191,                 2.6388,                 2.3528,                 1.4154,             2.6063e-05,             2.6063e-05,             2.6063e-05
                     94,                 2.5143,                  2.167,                 1.4278,                0.11981,                0.04414,                0.03252,                0.01174,                 2.6637,                 2.3876,                  1.421,              2.346e-05,              2.346e-05,              2.346e-05
                     95,                 2.4813,                 2.1599,                  1.421,                0.15387,                0.04322,                0.03247,                0.01206,                 2.6607,                 2.3746,                 1.4141,             2.0856e-05,             2.0856e-05,             2.0856e-05
                     96,                 2.5118,                 2.1649,                 1.4224,                0.07324,                0.04997,                0.03717,                0.01504,                 2.6409,                 2.3432,                 1.4029,             1.8252e-05,             1.8252e-05,             1.8252e-05
                     97,                 2.4753,                 2.1257,                 1.4143,                0.07126,                0.05189,                0.03842,                 0.0155,                 2.6345,                 2.3224,                 1.4019,             1.5649e-05,             1.5649e-05,             1.5649e-05
                     98,                 2.4778,                 2.1226,                 1.4164,                0.03631,                0.06029,                0.03915,                0.01639,                 2.6369,                 2.3131,                 1.4051,             1.3045e-05,             1.3045e-05,             1.3045e-05
                     99,                 2.4556,                 2.0926,                 1.4112,                0.07195,                0.05674,                0.03845,                0.01563,                 2.6401,                 2.2953,                 1.4077,             1.0441e-05,             1.0441e-05,             1.0441e-05
                    100,                 2.4708,                 2.1313,                 1.4154,                0.14534,                0.08074,                0.05559,                0.02188,                 2.6388,                 2.2918,                 1.4089,             7.8374e-06,             7.8374e-06,             7.8374e-06
