                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8431,                 5.5426,                 4.2337,                      0,                      0,                      0,                      0,                 5.2951,                 5.8035,                 4.1646,              6.575e-05,              6.575e-05,              6.575e-05
                      2,                 4.8722,                 5.4785,                 4.2056,                      0,                      0,                      0,                      0,                 5.2904,                 5.8205,                 4.1612,             0.00012749,             0.00012749,             0.00012749
                      3,                 4.8082,                 5.3748,                 4.1583,                      0,                      0,                      0,                      0,                  5.286,                 5.8903,                 4.1567,             0.00018246,             0.00018246,             0.00018246
                      4,                 4.7089,                 5.2607,                 4.0861,                      0,                      0,                      0,                      0,                 5.3009,                 6.0046,                 4.1895,             0.00022394,             0.00022394,             0.00022394
                      5,                 4.6314,                 5.0416,                 3.9846,                      0,                      0,                      0,                      0,                  5.442,                 6.4292,                 4.4221,             0.00022394,             0.00022394,             0.00022394
                      6,                 4.5323,                 4.8149,                 3.8569,                0.00018,                0.00106,                 0.0001,                  3e-05,                 5.0949,                 5.2634,                 3.9505,             0.00021093,             0.00021093,             0.00021093
                      7,                 4.3639,                 4.6213,                 3.7866,                0.06961,                0.00114,                0.00022,                  7e-05,                 4.7485,                 4.8005,                 3.6989,             0.00019791,             0.00019791,             0.00019791
                      8,                 4.2212,                  4.408,                 3.6596,                 0.0713,                0.00252,                0.00054,                0.00016,                 4.5117,                 4.6235,                 3.5251,             0.00018489,             0.00018489,             0.00018489
                      9,                 4.0458,                 4.2619,                 3.5343,                0.10662,                0.00265,                0.00115,                0.00036,                 4.3792,                 4.7676,                 3.3687,             0.00017187,             0.00017187,             0.00017187
                     10,                 3.9426,                 4.1034,                 3.3979,                0.14402,                0.00222,                0.00132,                0.00049,                 4.1586,                  4.252,                 3.1967,             0.00015885,             0.00015885,             0.00015885
                     11,                 3.8063,                 4.2061,                 3.2352,                0.10688,                0.00328,                0.00197,                0.00086,                 4.1053,                 4.1253,                 3.0543,             0.00014583,             0.00014583,             0.00014583
                     12,                 3.7118,                 4.0463,                 3.0931,                0.10845,                0.00389,                0.00258,                 0.0011,                 3.9745,                 3.9699,                 2.9068,             0.00013281,             0.00013281,             0.00013281
                     13,                 3.6559,                 3.9054,                 2.9569,                0.07586,                0.00385,                0.00261,                0.00099,                 3.9368,                 3.7578,                 2.8226,              0.0001198,              0.0001198,              0.0001198
                     14,                 3.5463,                 3.8121,                 2.8576,                0.07681,                0.00387,                0.00229,                0.00085,                 3.8077,                 3.7301,                 2.7415,             0.00010678,             0.00010678,             0.00010678
                     15,                 3.5102,                 3.7624,                 2.8058,                0.04115,                 0.0051,                0.00303,                0.00087,                  3.774,                 3.6784,                 2.6558,             9.3759e-05,             9.3759e-05,             9.3759e-05
                     16,                 3.4882,                 3.6573,                 2.7407,                0.11162,                 0.0053,                0.00341,                0.00122,                 3.6971,                 3.5537,                 2.5945,             8.0741e-05,             8.0741e-05,             8.0741e-05
                     17,                 3.4377,                 3.6061,                 2.6906,                0.11128,                0.00554,                0.00363,                0.00137,                 3.6452,                 3.5341,                 2.5731,             6.7722e-05,             6.7722e-05,             6.7722e-05
                     18,                 3.3804,                 3.5427,                 2.6751,                0.07822,                0.00494,                 0.0044,                0.00171,                 3.6287,                 3.4998,                 2.5445,             5.4704e-05,             5.4704e-05,             5.4704e-05
                     19,                 3.3938,                 3.5361,                 2.6122,                0.07758,                0.00556,                0.00445,                0.00178,                 3.5611,                 3.4836,                 2.5168,             4.1686e-05,             4.1686e-05,             4.1686e-05
                     20,                 3.3889,                 3.5644,                 2.6161,                0.11209,                0.00629,                0.00437,                0.00175,                 3.5277,                 3.4417,                 2.4803,             2.8667e-05,             2.8667e-05,             2.8667e-05
